There are 284 high schools in North Dakota.,,,
Current ND High School Teams,,,
School,Mascot,City,Column1
Adams-Edmore,Spartans,Edmore,
Adams-Edmore/Edinburg,Spartans,Edinburg,
Ashley,Aces,Ashley,
Ashley/Wishek,Aces,Ashley,
Barnes County North co-op [North Central/Wimbledon-Courtenay],Bison,Rogers,
Beach,Buccaneers,Beach,
Belfield,Bantams,Belfield,
Benson County [Leeds/Maddock],Wildcats,Leeds,
Berthold,Bombers,Berthold,
Berthold/North Shore,Bombers,Berthold,
Berthold/Our Redeemer's Christian,Bombers,Berthold,
Berthold/Our Redeemer's Christian/North Shore,Bombers,Berthold,
Beulah,Miners,Beulah,
Beulah/Golden Valley,Miners,Beulah,
Bisbee-Egeland/Rock Lake,Wildcats,Bisbee,
Bishop Ryan,Lions,Minot,
Bishop Ryan/Sawyer,Lions,Minot,
Bismarck,Demons,Bismarck,
Bottineau,Braves,Bottineau,
Bottineau/Newburg,Braves,Bottineau,
Bowman County co-op [Bowman/Rhame/Scranton],Bulldogs,Bowman,
Bowman County co-op [Bowman/Rhame],Bulldogs,Bowman,
Bowman County co-op [Bowman/Scranton],Bulldogs,Bowman,
Burke Central/Bowbells,Titans,Lignite,Panthers
Cando,Bearcats,Cando,
Carrington,Cardinals,Carrington,
Carrington/Kensal,Cardinals,Carrington,
Carrington/Pingree-Buchanan/Kensal,Cardinals,Carrington,
Carrington/Pingree-Buchanan/Kensal/Sykeston,Cardinals,Carrington,
Cavalier,Tornadoes,Cavalier,
Center-Stanton,Wildcats,Center,
Central Cass,Squirrels,Casselton,
Central McLean [Turtle Lake-Mercer/Underwood/McClusky],Cougars,Turtle Lake,
Central McLean co-op [Underwood/Turtle Lake-Mercer],Comets,Underwood,
Central Prairie [Gackle-Streeter/Medina/Tappen],Firebirds,Gackle,
Central Prairie [Gackle-Streeter/Medina],Firebirds,Gackle,
Central Valley,Valiants,Buxton,
Century,Patriots,Bismarck,
Dakota Adventist Academy,Knights,Bismarck,
Dakota Oyate [Solen/Selfridge],Eagles,Solen,
Dakota Prairie,Knights,Petersburg,
Des Lacs-Burlington,Lakers,Des Lacs,
Devils Lake,Firebirds,Devils Lake,
Devils Lake/North Dakota School for the Deaf,Firebirds,Devils Lake,
Devils Lake/North Dakota School for the Deaf/Minnewaukan,,Devils Lake,
Dickinson,Midgets,Dickinson,
Dickinson/Hope Christian,Midgets,Dickinson,
Divide County,Maroons,Crosby,
Drake/Anamoose,Raiders,Drake,
Drayton/St. Thomas,Blue Knights,Drayton,
Drayton/St. Thomas/Valley,Blue Knights,Drayton,
Drayton/Valley-Edinburg,Blue Knights,Drayton,
Dunseith,Dragons,Dunseith,
Edgeley,Rangers,Edgeley,
Edgeley/Kulm,Rebels,Edgeley,
Edgeley/Kulm/Montpelier,Rangers,Edgeley,
Edinburg,Titans,Edinburg,
Ellendale,Cardinals,Ellendale,
Ellendale/Edgeley/Kulm,,Edgeley,
Enderlin,Eagles,Enderlin,
Fairmount,Rebels,Fairmount,
Fairmount/Campbell-Tintah,Rebels,Fairmount,
Fargo Davies,Eagles,Fargo,
Fargo North,Spartans,Fargo,
Fargo South,Bruins,Fargo,
Finley-Sharon,Raiders,Finley,
Finley-Sharon/Hope-Page,Spartan,Finley,
Flasher,Bulldogs,Flasher,
Flasher-Carson,Wildcats,Flasher,
Flasher/Carson/Elgin-New Leipzig,Bulldogs,Flasher,
Fordville Lankin,Flyers,Fordville,
Fordville Lankin/Park River,Flyers,Fordville,
Four Winds,Indians,Fort Totten,
Four Winds/Minnewaukan,Indians,Fort Totten,
Four Winds/Warwick,,Fort Totten,
Four Winds/Warwick/Minnewaukan,Indians,Fort Totten,
Garrison,Troopers,Garrison,
Garrison/Max,Troopers,Garrison,
Glen Ullin/Hebron,Bearcats,Glen Ullin,
Glenburn,Panther,Glenburn,
Glenburn/Mohall/Sherwood,Panthers,Glenburn,
Golden Valley/Dodge/Halliday,Panthers,Golden Valley,
Grafton,Spoilers,Grafton,
Grafton/St. Thomas,Spoilers,Grafton,
Grand Forks Central,Knights,Grand Forks,
Grant County co-op [Carson/Elgin-New Leipzig],Coyotes,Elgin,
Grant County/Flasher,Coyotes,Elgin,
Grenora,Gophers,Grenora,
Griggs County Central,Cougars,Cooperstown,
Griggs County Central/Finley-Sharon/Midkota,Cougars,Cooperstown,
Griggs County Central/Midkota,Cougars,Cooperstown,
Griggs-Barnes County [Griggs County Central/North Central/Wimbledon-Courtenay],Titans,Cooperstown,
Halliday,,Halliday,
Hankinson,Pirates,Hankinson,
Hankinson/Campbell-Tintah/Fairmount,Rebels,Fairmount,
Hankinson/Fairmount,Pirates,Hankinson,
Harvey,Hornets,Harvey,
Harvey/Fessenden-Bowdon,Hornets,Harvey,
Harvey/Goodrich/Fessenden-Bowdon,Hornets,Harvey,
Hatton/Northwood,Thunder,Northwood,
Hazelton-Moffit-Braddock,Tigers,Hazelton,
Hazen,Bison,Hazen,
Hazen/Beulah,Bison,Hazen,
Heart River co-op [Belfield/South Heart],Cougars,Belfield,
Hebron-Glen Ullin,Bearcats,Hebron,
Hettinger,Black Devils,Hettinger,
Hettinger/Scranton,Black Devils,Hettinger,
nerw,Nighthawks,Hettinger,
Hillsboro,Burros,Hillsboro,
Hillsboro/Central Valley,Valiants,Buxton,
Hope-Page,Wolverines,Hope,
Jamestown,Bluejays,Jamestown,
Jamestown/Medina,Bluejays,Jamestown,
Jamestown/Medina/Montpelier,Bluejays,Jamestown,
Kenmare,Honkers,Kenmare,
Kenmare/Bowbells/Burke Central,Honkers,Kenmare,
Kensal/Pingree-Buchanan,Rebels,Kensal,
Kidder County co-op [Steele-Dawson/Tappen/Sterling],Pirates,Steele,
Kidder County co-op [Steele-Dawson/Tappen/Tuttle-Pettibone],Pirates,Steele,
Kidder County co-op [Steele/Tappen/Wing/Napoleon],Pirates,Steele,
Kidder County co-op [Steele/Tappen],Pirates,Steele,
Killdeer,Cowboys,Killdeer,
Killdeer/Halliday,Cowboys,Killdeer,
Kindred,Vikings,Kindred,
Kindred/Richland,Vikings,Kindred,
Kulm,Gophers,Kulm,
Lakota,Raiders,Lakota,
Lakota/Adams-Edmore,Raiders,Lakota,
Lakota/Adams-Edmore/Dakota Prairie,,Lakota,
LaMoure,Loboes,LaMoure,
LaMoure/Litchville-Marion,Loboes,LaMoure,
LaMoure/Litchville-Marion/Montpelier,Loboes,LaMoure,
Langdon,Cardinals,Langdon,
Langdon/Munich,Cardinals,Langdon,
Langdon/Munich/Border Central,Cardinals,Langdon,
Larimore,Polar Bears,Larimore,
Larimore/Midway,Polar Bears,Larimore,
Leeds,Lions,Leeds,
Lidgerwood,Cardinals,Lidgerwood,
Linton,Lions,Linton,
Linton/Hazelton-Moffit-Braddock,Lions,Linton,
Lisbon,Broncos,Lisbon,
Litchville-Marion/Montpelier,Rebels,Marion,
Maddock,Bobcats,Maddock,
Mandan,Braves,Mandan,
Mandaree,Warriors,Mandaree,
Maple Valley,Raiders,Tower City,
Maple Valley/Enderlin,,Tower City,
Max,Cossacks,Max,
Max/Sawyer,Cossacks,Max,
Mayville-Portland-Clifford-Galesburg,Patriots,Mayville,
Medina,,Medina,
Medina/Pingree-Buchanan,,Medina,
Midkota,Mustangs,Glenfield,
Midkota/North Central/Wells County/Griggs County,Mustangs,Glenfield,
Midway,Monarchs,Inkster,
Midway/Minto,Mustangs,Inkster,
Midway/Minto/Colony,Monarchs,Inkster,
Milnor,Bison,Milnor,
Milnor/North Sargent,Bulldogs,Gwinner,
Minnewaukan/Sheyenne,,Minnewaukan,
Minot,Magicians,Minot,
Minot/Dakota Memorial,Magicians,Minot,
Minto,,Minto,
Mohall/Lansford/Sherwood,Mavericks,Renville,
Mohall/Sherwood,Mavericks,Renville,
Mott-Regent,Wildfire,Mott,
Munich/Starkweather,Magic Storm,Munich,
Munich/Starkweather/Cando,Magic Storm,Munich,
Napoleon,Imperials,Napoleon,
Napoleon/Gackle-Streeter,Imperials,Napoleon,
New England,Tigers,New England,
New Rockford-Sheyenne,Rockets,New Rockford,
New Salem,Holsteins,New Salem,
New Salem/Glen Ullin,Holsteins,New Salem,
New Town,Eagles,New Town,
New Town/Mandaree,Eagles,New Town,
North Border co-op [Walhalla/Pembina-Neche],Eagles,Walhalla,
North Border co-op [Walhalla/Pembina],Eagles,Walhalla,
North Central Benson co-op [Leeds/Minnewaukan],Raiders,Leeds,
North Prairie co-op [Rolette/Wolford/Rolla],Comets,Rolette,
North Prairie co-op [Rolla/Rock Lake/Rolette/Wolford],Cougars,Rolla,
North Sargent,Bulldogs,Gwinner,
North Shore,Wildcats,Makoti,
North Shore/Parshall/Berthold,Wildcats,Makoti,
North Shore/White Shield,Wildcats,Makoti,
North Star co-op [Cando/Bisbee-Egeland/Munich/Starkweather],Bearcats,Cando,
North Star co-op [Cando/Bisbee-Egeland/Starkweather],Bearcats,Cando,
North Star co-op [Cando/Bisbee-Egeland],Bearcats,Cando,
North Star/Starkweather,Bearcats,Cando,
Northern Cass,Jaguars,Hunter,
Oak Grove Lutheran,Grovers,Fargo,
Oak Grove Lutheran/Park Christian,Grovers,Fargo,
Oakes,Tornadoes,Oakes,
Our Redeemer's Christian,Knights,Minot,
Park River,Aggies,Park River,
Park River/Fordville-Lankin,Aggies,Park River,
Park River/Fordville-Lankin/Edinburg,Aggies,Park River,
Parshall,Braves,Parshall,
Parshall/North Shore,Braves,Parshall,
Parshall/White Shield,Braves,Parshall,
Pingree-Buchanan,Rebels,Kensal,
Powers Lake,Ranchers,Powers Lake,
Powers Lake/Wildrose-Alamo,Ranchers,Powers Lake,
Ray,Ray Jays,Ray,
Red River,Roughriders,Grand Forks,
Richardton-Taylor,Raiders,Richardton,
Richardton-Taylor/Hebron,Raiders,Richardton,
Richland,Colts,Colfax,
Rolette/Wolford,Comets,Rolette,
Rolla,Bulldogs,Rolla,
Rolla/Rock Lake,Bulldogs,Rolla,
Rugby,Panthers,Rugby,
Sargent Central,Cadets,Forman,
Sawyer,,Sawyer,
Scranton,Miners,Scranton,
Shanley,Deacons,Fargo,
Shanley/Oak Grove Lutheran,Deacons,Fargo,
Sheridan County [McClusky/Goodrich],Coyotes,McClusky,
Shiloh Christian,Skyhawks,Bismarck,
Shiloh Christian/Strasburg/Linton,Skyhawks,Bismarck,
Solen,Eagles,Solen,
Solen/Cannonball,Eagles,Solen,
South Border co-op [Wishek/Ashley],Mustangs,Wishek,
South Heart,Eagles,South Heart,
South Heart/Belfield,Eagles,South Heart,
Southern McLean [Washburn/Wilton/Wing],Cardinals,Washburn,
St. John,Woodchucks,St. John,
St. Mary's Central,Saints,Bismarck,
Standing Rock,Warriors,Fort Yates,
Standing Rock/Selfridge,Warriors,Fort Yates,
Stanley,Blue Jays,Stanley,
Stanley/Powers Lake,Bluejays,Stanley,
Steele-Dawson,Pirates,Steele,
Steele-Dawson/Wing/Napoleon,Pirates,Steele,
Steele-Dawson/Wing/Tuttle-Pettibone,Pirates,Steele,
Steele-Dawson/Wing/Tuttle-Pettibone/Napoleon,Pirates,Steele,
Strasburg/Zeeland,Clippers,Strasburg,
Surrey,Mustangs,Surrey,
Tappen,Comets,Tappen,
Thompson,Tommies,Thompson,
Tioga,Pirates,Tioga,
Towner-Granville-Upham,Titans,Towner,
Trenton,Tigers,Trenton,
Trenton/Trinity Christian,Tigers,Trenton,
Tri-County co-op [Drake/Anamoose/Goodrich],Raiders,Drake,
Tri-County co-op [Drake/Anamoose/McClusky/Goodrich],Raiders,Drake,
Trinity,Titans,Dickinson,
Trinity Christian,Crusaders,Williston,
Trinity/New England,Titans,Dickinson,
Turtle Lake-Mercer,Trojans,Turtle Lake,
Turtle Lake-Mercer/McClusky,Trojans,Turtle Lake,
Turtle Lake-Mercer/Underwood/McClusky/Goodrich,Trojans,Turtle Lake,
Turtle Mountain,Braves,Belcourt,
Underwood,Comets,Underwood,
Valley City,Hi-Liners,Valley City,
Valley/Edinburg,Titans,Hoople,
Velva,Aggies,Velva,
Velva/Drake,Aggies,Velva,
Velva/Drake/Anamoose,Aggies,Velva,
Velva/Sawyer,Aggies,Velva,
Wahpeton,Huskies,Wahpeton,
Walhalla/Pembina/Drayton,Eagles,Walhalla,
Warwick,Warriors,Warwick,
Washburn,Cardinals,Washburn,
Washburn/Wilton/Center-Stanton,Cardinals,Washburn,
Watford City,Wolves,Watford City,
Watford City/Alexander,Wolves,Watford City,
Watford City/Alexander/Johnson Corners Christian Academy,Wolves,Watford City,
Wells County,Bears,Fessenden,
West Fargo,Packers,West Fargo,
Westhope/Newburg,Sioux,Westhope,
Westhope/Newburg/Glenburn,Sioux,Westhope,
Westhope/Newburg/Melita,Sioux,Westhope,
White Shield,Warriors,Roseglen,
Williams County co-op [Tioga/Ray],Firestorm,Tioga,
Williston,Coyotes,Williston,
Wilton,Miners,Wilton,
Wilton/Wing,Miners,Wilton,
Wing,Wildcats,Wing,
Wing/Tuttle,Wildcats,Wing,
Wishek,Badgers,Wishek,
Wyndmere,Warriors,Wyndmere,
Wyndmere/Lidgerwood,Warbirds,Wyndmere,
